順位,ダジャレ,スコア,ダジャレの質,文法的な正しさ,読み,検出されたダジャレ,登録日
1,「イワシ、タイ、ナマズ」って言わしたいな、まず。,79.8,68,11.8,イワシタイナマズッテイワシタイナマズ,イワシタイナマズ,2022-11-12
2,アルミ缶の上にあるみかん,75.3,59,16.3,アルミカンノウエニアルミカン,アルミカン,2022-11-12
3,トイレに行っといれ,70.1,53,17.1,トイレニイットイレ,トイレ,2022-11-12
4,A4でえーよん,69.6,56,13.6,エーヨンデエーヨン,エーヨン,2022-11-12
5,アイスを愛す,66.5,53,13.5,アイスオアイス,アイス,2022-11-12
6,電話に出んわ,65.2,53,12.2,デンワニデンワ,デンワ,2022-11-12
7,コンドルが地面に食い込んどる,64.5,56,8.5,コンドルガジメンニクイコンドル,コンドル,2022-11-12
8,このパイン、味がやばいん,64.4,47,17.4,コノパインアジガヤバイン,ハイン,2022-11-12
9,猫が寝ころんだ,60.7,50,10.7,ネコガネコロンダ,ネコ,2022-11-16
10,布団が吹っ飛んだ,59.5,50,9.5,フトンガフットンダ,フトン,2022-11-16
